,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
60,ABT,Abbott Laboratories,2007-07-18T04:00:00.000Z,TAS,0.68,0.69,2.07,EDT,-14400000,EQUITY
61,ABT,Abbott Laboratories,2007-04-18T04:00:00.000Z,TAS,0.52,0.55,4.93,EDT,-14400000,EQUITY
62,ABT,Abbott Laboratories,2007-01-24T05:00:00.000Z,TAS,0.74,0.75,0.92,EST,-18000000,EQUITY
63,ABT,Abbott Laboratories,2006-10-18T04:00:00.000Z,TAS,0.58,0.58,-0.22,EDT,-14400000,EQUITY
64,ABT,Abbott Laboratories,2006-07-19T04:00:00.000Z,TAS,0.57,0.62,8.64,EDT,-14400000,EQUITY
65,ABT,Abbott Laboratories,2006-04-19T04:00:00.000Z,TAS,0.57,0.57,-0.27,EDT,-14400000,EQUITY
66,ABT,Abbott Laboratories,2006-01-25T05:00:00.000Z,TAS,0.76,0.76,0.3,EST,-18000000,EQUITY
67,ABT,Abbott Laboratories,2005-10-19T04:00:00.000Z,TAS,0.58,0.58,0.62,EDT,-14400000,EQUITY
68,ABT,Abbott Laboratories,2005-07-13T04:00:00.000Z,TAS,0.57,0.58,1.5,EDT,-14400000,EQUITY
69,ABT,Abbott Laboratories,2005-04-12T04:00:00.000Z,TAS,0.58,0.58,0.0,EDT,-14400000,EQUITY
70,ABT,Abbott Laboratories,2005-01-18T05:00:00.000Z,TAS,0.67,0.67,0.32,EST,-18000000,EQUITY
71,ABT,Abbott Laboratories,2004-10-14T04:00:00.000Z,TAS,0.53,0.53,0.58,EDT,-14400000,EQUITY
72,ABT,Abbott Laboratories,2004-07-09T04:00:00.000Z,TAS,0.54,0.54,-0.23,EDT,-14400000,EQUITY
73,ABT,Abbott Laboratories,2004-04-08T04:00:00.000Z,TAS,0.56,0.57,1.09,EDT,-14400000,EQUITY
74,ABT,Abbott Laboratories,2004-01-16T05:00:00.000Z,TAS,0.65,0.65,0.19,EST,-18000000,EQUITY
75,ABT,Abbott Laboratories,2003-10-09T04:00:00.000Z,TAS,0.53,0.53,-0.33,EDT,-14400000,EQUITY
76,ABT,Abbott Laboratories,2003-07-10T04:00:00.000Z,TAS,0.52,0.52,0.11,EDT,-14400000,EQUITY
77,ABT,Abbott Laboratories,2003-04-09T04:00:00.000Z,TAS,0.51,0.51,0.37,EDT,-14400000,EQUITY
78,ABT,Abbott Laboratories,2003-01-16T05:00:00.000Z,TAS,0.56,0.55,-1.39,EST,-18000000,EQUITY
79,ABT,Abbott Laboratories,2002-10-09T04:00:00.000Z,TAS,0.48,0.48,-0.12,EDT,-14400000,EQUITY
80,ABT,Abbott Laboratories,2002-07-11T04:00:00.000Z,TAS,0.49,0.49,-0.95,EDT,-14400000,EQUITY
81,ABT,Abbott Laboratories,2002-04-09T04:00:00.000Z,TAS,0.54,0.54,-0.1,EDT,-14400000,EQUITY
82,ABT,Abbott Laboratories,2002-01-16T05:00:00.000Z,TAS,0.52,0.52,0.97,EST,-18000000,EQUITY
83,ABT,Abbott Laboratories,2001-10-10T04:00:00.000Z,TAS,0.44,0.44,-0.11,EDT,-14400000,EQUITY
84,ABT,Abbott Laboratories,2001-07-12T04:00:00.000Z,TAS,0.45,0.45,0.62,EDT,-14400000,EQUITY
85,ABT,Abbott Laboratories,2001-04-12T04:00:00.000Z,TAS,0.47,0.47,-0.92,EDT,-14400000,EQUITY
86,ABT,Abbott Laboratories,2001-01-16T05:00:00.000Z,TAS,0.48,0.48,0.7,EST,-18000000,EQUITY
87,ABT,Abbott Laboratories,2000-10-10T04:00:00.000Z,TAS,0.42,0.42,-0.13,EDT,-14400000,EQUITY
88,ABT,Abbott Laboratories,2000-07-12T04:00:00.000Z,TAS,0.44,0.44,0.4,EDT,-14400000,EQUITY
89,ABT,Abbott Laboratories,2000-04-11T04:00:00.000Z,TAS,0.44,0.44,0.0,EDT,-14400000,EQUITY
90,ABT,Abbott Laboratories,2000-01-18T05:00:00.000Z,TAS,0.43,0.43,-0.13,EST,-18000000,EQUITY
91,ABT,Abbott Laboratories,1999-10-11T04:00:00.000Z,TAS,0.38,0.38,-0.17,EDT,-14400000,EQUITY
92,ABT,Abbott Laboratories,1999-07-09T04:00:00.000Z,TAS,0.42,0.42,-0.14,EDT,-14400000,EQUITY
93,ABT,Abbott Laboratories,1999-04-08T04:00:00.000Z,TAS,0.43,0.44,3.53,EDT,-14400000,EQUITY
94,ABT,Abbott Laboratories,1999-01-15T05:00:00.000Z,TAS,0.41,0.41,0.14,EST,-18000000,EQUITY
95,ABT,Abbott Laboratories,1998-10-08T04:00:00.000Z,TAS,0.34,0.34,0.0,EDT,-14400000,EQUITY
96,ABT,Abbott Laboratories,1998-07-09T04:00:00.000Z,TAS,0.37,0.38,1.88,EDT,-14400000,EQUITY
97,ABT,Abbott Laboratories,1998-04-09T04:00:00.000Z,TAS,0.38,0.38,0.0,EDT,-14400000,EQUITY
98,ABT,Abbott Laboratories,1998-01-16T05:00:00.000Z,TAS,0.37,0.37,-0.15,EST,-18000000,EQUITY
99,ABT,Abbott Laboratories,1997-10-08T04:00:00.000Z,TAS,0.31,0.31,0.0,EDT,-14400000,EQUITY
