,ticker,name,sector,sub-industry,price,pe,roa
362,PARA,Paramount,Communication Services,Movies & Entertainment,31.040000915527344,,
363,PH,Parker,Industrials,Industrial Machinery,277.07000732421875,19.31,8.0
364,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,131.35000610351562,37.32,11.48
365,PAYC,Paycom,Information Technology,Application Software,295.9700012207031,100.33,4.13
366,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,86.02999877929688,20.69,3.81
367,PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,36.54999923706055,15.49,4.39
368,PNR,Pentair,Industrials,Industrial Machinery,52.68000030517578,17.44,9.0
369,PEP,PepsiCo,Consumer Staples,Soft Drinks,172.14999389648438,29.33,7.98
370,PKI,PerkinElmer,Health Care,Health Care Equipment,152.58999633789062,15.22,9.48
371,PFE,Pfizer,Health Care,Pharmaceuticals,48.130001068115234,13.75,7.78
372,PM,Philip Morris International,Consumer Staples,Tobacco,102.69000244140625,17.89,20.24
373,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,83.62000274658203,,0.72
374,PNW,Pinnacle West,Utilities,Multi-Utilities,77.31999969482422,15.33,2.68
375,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,236.24000549316406,37.62,9.4
376,PNC,PNC Financial Services,Financials,Regional Banks,173.25,17.03,1.12
377,POOL,Pool Corporation,Consumer Discretionary,Distributors,415.739990234375,28.18,25.12
378,PPG,PPG Industries,Materials,Specialty Chemicals,132.85000610351562,22.32,5.41
379,PPL,PPL,Utilities,Electric Utilities,29.889999389648438,,2.28
380,PFG,Principal,Financials,Life & Health Insurance,72.33999633789062,11.63,0.45
381,PG,Procter & Gamble,Consumer Staples,Personal Products,161.25,29.47,9.51
382,PGR,Progressive,Financials,Property & Casualty Insurance,108.33999633789062,15.75,4.09
383,PLD,Prologis,Real Estate,Industrial REITs,168.72999572753906,63.82,1.98
384,PRU,Prudential,Financials,Life & Health Insurance,115.83000183105469,6.31,0.74
385,PEG,PSEG,Utilities,Electric Utilities,73.87999725341797,,2.03
386,PTC,PTC,Information Technology,Application Software,99.12000274658203,24.6,6.29
387,PSA,Public Storage,Real Estate,Specialized REITs,402.3599853515625,48.07,7.98
